Peru Premium,#genre#
France_24,http://38.224.73.146:8000/play/a1aq/index.m3u8
GLOBAL_HD_DECO,http://38.224.73.146:8000/play/a1ev/index.m3u8
Giga_Vision_HD,http://38.224.73.146:8000/play/a1eg/index.m3u8
Gigavision,http://38.224.73.146:8000/play/a1hb/index.m3u8
Golden_Edge,http://38.224.73.146:8000/play/a19l/index.m3u8
Golden_HD,http://38.224.73.146:8000/play/a19k/index.m3u8
Golf_Channel,http://38.224.73.146:8000/play/a17j/index.m3u8
HBO,http://38.224.73.146:8000/play/a1bc/index.m3u8
HBO_2,http://38.224.73.146:8000/play/a17t/index.m3u8
HBO_Family_HD,http://38.224.73.146:8000/play/a18h/index.m3u8
HBO_HD,http://38.224.73.146:8000/play/a139/index.m3u8
HBO_Mundi,http://38.224.73.146:8000/play/a1cu/index.m3u8
HBO_POP_HD,http://38.224.73.146:8000/play/a13j/index.m3u8
HBO_Plus,http://38.224.73.146:8000/play/a17s/index.m3u8
HBO_Signature,http://38.224.73.146:8000/play/a16b/index.m3u8
HBO_XTREME_HD,http://38.224.73.146:8000/play/a197/index.m3u8
HEI_HD,http://38.224.73.146:8000/play/a1h2/index.m3u8
HGTV,http://38.224.73.146:8000/play/a1c8/index.m3u8
HOLA_TV_HD,http://38.224.73.146:8000/play/a1h8/index.m3u8
HTV,http://38.224.73.146:8000/play/a17e/index.m3u8
History_2,http://38.224.73.146:8000/play/a171/index.m3u8
History_Channel_HD,http://38.224.73.146:8000/play/a18z/index.m3u8
Home_&_Health_HD,http://38.224.73.146:8000/play/a1c2/index.m3u8
ID_HD,http://38.224.73.146:8000/play/a194/index.m3u8
JN19_WEB,http://38.224.73.146:8000/play/a1fw/index.m3u8
Kanal_D_Drama,http://38.224.73.146:8000/play/a18i/index.m3u8
L1_MAX,http://38.224.73.146:8000/play/a1h7/index.m3u8
LA_RIBEREÑA,http://38.224.73.146:8000/play/a0vg/index.m3u8
LA_TELE_HD_DECO,http://38.224.73.146:8000/play/a0vw/index.m3u8
LATINA_DECO,http://38.224.73.146:8000/play/a0vx/index.m3u8
LIGA_1_MAX_DECO,http://38.224.73.146:8000/play/a0vu/index.m3u8
LIGA1_DECO,http://38.224.73.146:8000/play/a0vt/index.m3u8
La_Red_HD,http://38.224.73.146:8000/play/a1ao/index.m3u8
Las_Estrellas_HD,http://38.224.73.146:8000/play/a1gg/index.m3u8
Lashmy_TV,http://38.224.73.146:8000/play/a1hc/index.m3u8
Latina_HD,http://38.224.73.146:8000/play/a0y2/index.m3u8
Lifetime,http://38.224.73.146:8000/play/a1ay/index.m3u8
Love_Nature,http://38.224.73.146:8000/play/a15d/index.m3u8
MEGA_HD,http://38.224.73.146:8000/play/a13r/index.m3u8
MTV_HD,http://38.224.73.146:8000/play/a13a/index.m3u8
MÆsChic,http://38.224.73.146:8000/play/a17d/index.m3u8
NATIVA,http://38.224.73.146:8000/play/a0vj/index.m3u8
NTN_24_Horas,http://38.224.73.146:8000/play/a17f/index.m3u8
NTN24,http://38.224.73.146:8000/play/a1gl/index.m3u8
Nat_Geo_HD,http://38.224.73.146:8000/play/a190/index.m3u8
Nick_HD,http://38.224.73.146:8000/play/a13n/index.m3u8
Nick_Jr,http://38.224.73.146:8000/play/a1aw/index.m3u8
Nick_Music,http://38.224.73.146:8000/play/a177/index.m3u8
Nuestra_Tele,http://38.224.73.146:8000/play/a1d5/index.m3u8
OROMAR_TV,http://38.224.73.146:8000/play/a1dg/index.m3u8
PAT,http://38.224.73.146:8000/play/a1ec/index.m3u8
POPU_TV,http://38.224.73.146:8000/play/a1h5/index.m3u8
Palenque_TV,http://38.224.73.146:8000/play/a1e9/index.m3u8
Panamericana,http://38.224.73.146:8000/play/a1fk/index.m3u8
Pasiones_HD,http://38.224.73.146:8000/play/a196/index.m3u8
Playboy_HD,http://38.224.73.146:8000/play/a199/index.m3u8
Plim_Plim_TV,http://38.224.73.146:8000/play/a1ab/index.m3u8
Plus_Tlt_Tarija,http://38.224.73.146:8000/play/a1e7/index.m3u8
PlusTLT,http://38.224.73.146:8000/play/a1ha/index.m3u8
Poder_de_Dios,http://38.224.73.146:8000/play/a1dv/index.m3u8
RADIO_NACIONAL_WEB,http://38.224.73.146:8000/play/a1fy/index.m3u8
RAI_Italia,http://38.224.73.146:8000/play/a1bm/index.m3u8
RCN_HD,http://38.224.73.146:8000/play/a0zp/index.m3u8
REC_TV,http://38.224.73.146:8000/play/a19p/index.m3u8
RED_SIGLO_XXI,http://38.224.73.146:8000/play/a1eb/index.m3u8
RPP,http://38.224.73.146:8000/play/a1cs/index.m3u8
RT,http://38.224.73.146:8000/play/a1dr/index.m3u8
Red_Advenir,http://38.224.73.146:8000/play/a1ds/index.m3u8
Red_Advenir_TV,http://38.224.73.146:8000/play/a1dt/index.m3u8
Red_America_TV,http://38.224.73.146:8000/play/a1ef/index.m3u8
Red_Uno_LPZ_HD,http://38.224.73.146:8000/play/a1e0/index.m3u8
Red_Uno_SCZ,http://38.224.73.146:8000/play/a1dz/index.m3u8
SEO_TV,http://38.224.73.146:8000/play/a1du/index.m3u8
Sextreme,http://38.224.73.146:8000/play/a16d/index.m3u8
Sitel_Potosi,http://38.224.73.146:8000/play/a1ed/index.m3u8
Sony_HD,http://38.224.73.146:8000/play/a192/index.m3u8
Sony_Movies,http://38.224.73.146:8000/play/a14w/index.m3u8
Space_HD,http://38.224.73.146:8000/play/a1b5/index.m3u8
Star_Channel_HD,http://38.224.73.146:8000/play/a1b9/index.m3u8
Stingray_Concerts_HD,http://38.224.73.146:8000/play/a186/index.m3u8
Studio_Universal_HD,http://38.224.73.146:8000/play/a1g3/index.m3u8
Sun_Channel_HD,http://38.224.73.146:8000/play/a198/index.m3u8
TCM,http://38.224.73.146:8000/play/a1dc/index.m3u8
TLC,http://38.224.73.146:8000/play/a1ax/index.m3u8
TNT_HD,http://38.224.73.146:8000/play/a1b2/index.m3u8
TNT_Novelas_HD,http://38.224.73.146:8000/play/a19e/index.m3u8
TNT_SPORTS,http://38.224.73.146:8000/play/a1bl/index.m3u8
TNT_Series_HD,http://38.224.73.146:8000/play/a1bv/index.m3u8
TNT_Sports_Premiun_HD,http://38.224.73.146:8000/play/a13h/index.m3u8
TV_Nuevo_Tiempo,http://38.224.73.146:8000/play/a1em/index.m3u8
TV_PERU_HD_WEB,http://38.224.73.146:8000/play/a1fs/index.m3u8
TV_PERU_NOTICIAS_WEB,http://38.224.73.146:8000/play/a1fr/index.m3u8
TV+_HD,http://38.224.73.146:8000/play/a1am/index.m3u8
TVE,http://38.224.73.146:8000/play/a1cf/index.m3u8
TVN_HD,http://38.224.73.146:8000/play/a1be/index.m3u8
TVU_Pando,http://38.224.73.146:8000/play/a1e5/index.m3u8
TVU_Sucre,http://38.224.73.146:8000/play/a1e8/index.m3u8
Teen_Nick,http://38.224.73.146:8000/play/a1d7/index.m3u8
TelefØ,http://38.224.73.146:8000/play/a1c9/index.m3u8
Telemundo,http://38.224.73.146:8000/play/a1c6/index.m3u8
Televicentro,http://38.224.73.146:8000/play/a11r/index.m3u8
Tlnovelas,http://38.224.73.146:8000/play/a1ew/index.m3u8
Tooncast,http://38.224.73.146:8000/play/a1c7/index.m3u8
TyC_Sports,http://38.224.73.146:8000/play/a19x/index.m3u8
UNIVERSAL_CHANNEL_HD,http://38.224.73.146:8000/play/a1bs/index.m3u8
USA,http://38.224.73.146:8000/play/a1db/index.m3u8
VISION_SUR_DECO,http://38.224.73.146:8000/play/a0w4/index.m3u8
VOS_Tv,http://38.224.73.146:8000/play/a1ea/index.m3u8
Venus,http://38.224.73.146:8000/play/a1de/index.m3u8
Via_X,http://38.224.73.146:8000/play/a10g/index.m3u8
Via_X_Esports,http://38.224.73.146:8000/play/a1da/index.m3u8
Vida_TV,http://38.224.73.146:8000/play/a1ee/index.m3u8
WILLAX_DECO,http://38.224.73.146:8000/play/a1dl/index.m3u8
Warner_TV_HD,http://38.224.73.146:8000/play/a1b4/index.m3u8
