LatAm Premium,#genre#
AXN_HD,http://200.125.170.122:8000/play/a05s/index.m3u8
CINECANAL_HD,http://200.125.170.122:8000/play/a0a3/index.m3u8
CineMax,http://200.125.170.122:8000/play/a05l/index.m3u8
HBO_Family_HD,http://200.125.170.122:8000/play/a011/index.m3u8
HBO_HD,http://200.125.170.122:8000/play/a00y/index.m3u8
HBO_Plus_HD,http://200.125.170.122:8000/play/a010/index.m3u8
HBO_XTREME,http://200.125.170.122:8000/play/a012/index.m3u8
HBO2_HD,http://200.125.170.122:8000/play/a00z/index.m3u8
SONY_HD,http://200.125.170.122:8000/play/a0a2/index.m3u8
SPACE_HD,http://200.125.170.122:8000/play/a05t/index.m3u8
STAR_CHANNEL_HD,http://200.125.170.122:8000/play/a0a0/index.m3u8
Sony_Movies_HD,http://200.125.170.122:8000/play/a02o/index.m3u8
TNT_HD,http://200.125.170.122:8000/play/a04h/index.m3u8
TNT_Novelas,http://200.125.170.122:8000/play/a0cy/index.m3u8
TNT_Series_HD,http://200.125.170.122:8000/play/a061/index.m3u8
WARNER_HD,http://200.125.170.122:8000/play/a0a1/index.m3u8

Cultura,#genre#
Animal_Planet_HD,http://200.125.170.122:8000/play/a02g/index.m3u8
Discovery_Channel_HD,http://200.125.170.122:8000/play/a062/index.m3u8
Discovery_ID_HD,http://200.125.170.122:8000/play/a066/index.m3u8
Discovery_Kids_HD,http://200.125.170.122:8000/play/a00j/index.m3u8
Discovery_Science,http://200.125.170.122:8000/play/a008/index.m3u8
Discovery_Turbo,http://200.125.170.122:8000/play/a059/index.m3u8
Discovery_World_HD,http://200.125.170.122:8000/play/a063/index.m3u8
H2,http://200.125.170.122:8000/play/a03z/index.m3u8
History_HD,http://200.125.170.122:8000/play/a0dc/index.m3u8
Nat_Geo_HD,http://200.125.170.122:8000/play/a05z/index.m3u8

República Dominicana,#genre#
Antena_7-_RD,http://200.125.170.122:8000/play/a0ch/index.m3u8
CDN2-_RD,http://200.125.170.122:8000/play/a03j/index.m3u8
CDN37_-_RD,http://200.125.170.122:8000/play/a09j/index.m3u8
Color_Vision_9_-_RD,http://200.125.170.122:8000/play/a09i/index.m3u8
Digital_15_-_RD,http://200.125.170.122:8000/play/a03i/index.m3u8
Home_Garden_Latino,http://200.125.170.122:8000/play/a007/index.m3u8
RNN_-_RD,http://200.125.170.122:8000/play/a0dj/index.m3u8
Tele_Antillas_-_RD,http://200.125.170.122:8000/play/a0cg/index.m3u8
TeleMicro_-_RD,http://200.125.170.122:8000/play/a09h/index.m3u8
Telecentro_-_RD,http://200.125.170.122:8000/play/a03n/index.m3u8
Telesistema_RD,http://200.125.170.122:8000/play/a0ci/index.m3u8
Teleunion_-_RD,http://200.125.170.122:8000/play/a03o/index.m3u8
Teleuniverso_-_RD,http://200.125.170.122:8000/play/a03k/index.m3u8
Televida_RD,http://200.125.170.122:8000/play/a00n/index.m3u8

Infantil,#genre#
Baby_First,http://200.125.170.122:8000/play/a03v/index.m3u8
Baby_TV,http://200.125.170.122:8000/play/a002/index.m3u8
CARTOON_NT_HD,http://200.125.170.122:8000/play/a00x/index.m3u8
Cartoonito,http://200.125.170.122:8000/play/a0cp/index.m3u8
Disney,http://200.125.170.122:8000/play/a057/index.m3u8
Disney_JR,http://200.125.170.122:8000/play/a0cq/index.m3u8
Tooncast,http://200.125.170.122:8000/play/a09l/index.m3u8

Deportes,#genre#
ESPN_4_HD,http://200.125.170.122:8000/play/a0en/index.m3u8
ESPN_2_HD,http://200.125.170.122:8000/play/a05x/index.m3u8
ESPN_3_HD,http://200.125.170.122:8000/play/a05w/index.m3u8
ESPN_5,http://200.125.170.122:8000/play/a0dr/index.m3u8
ESPN_6,http://200.125.170.122:8000/play/a0ej/index.m3u8
ESPN_HD,http://200.125.170.122:8000/play/a05v/index.m3u8
FOX_SPORTS_3_HD,http://200.125.170.122:8000/play/a05y/index.m3u8
Golden,http://200.125.170.122:8000/play/a04a/index.m3u8
Golden_Premiere_2_HD,http://200.125.170.122:8000/play/a00m/index.m3u8
Golden_Premiere_HD,http://200.125.170.122:8000/play/a00l/index.m3u8
Golf_Channel_HD,http://200.125.170.122:8000/play/a038/index.m3u8
